Economy,Code,Region,Income group,Lending category
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,IDA
Liberia,LBR,Sub-Saharan Africa,Low income,IDA
Libya,LBY,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD
Liechtenstein,LIE,Europe & Central Asia,High income,NA
Lithuania,LTU,Europe & Central Asia,High income,NA
Luxembourg,LUX,Europe & Central Asia,High income,NA
"Macao SAR, China",MAC,East Asia & Pacific,High income,NA
Madagascar,MDG,Sub-Saharan Africa,Low income,IDA
Malawi,MWI,Sub-Saharan Africa,Low income,IDA
Malaysia,MYS,East Asia & Pacific,Upper middle income,IBRD
Maldives,MDV,South Asia,Upper middle income,IDA
Mali,MLI,Sub-Saharan Africa,Low income,IDA
Malta,MLT,"Middle East, North Africa, Afghanistan & Pakistan",High income,NA
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,IDA
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,IDA
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,IBRD
Mexico,MEX,Latin America & Caribbean,Upper middle income,IBRD
Micronesia (Federated States of),FSM,East Asia & Pacific,Lower middle income,IDA
Republic of Moldova,MDA,Europe & Central Asia,Upper middle income,IBRD
Monaco,MCO,Europe & Central Asia,High income,NA
Mongolia,MNG,East Asia & Pacific,Upper middle income,IBRD
Montenegro,MNE,Europe & Central Asia,Upper middle income,IBRD
Morocco,MAR,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD
Mozambique,MOZ,Sub-Saharan Africa,Low income,IDA
Myanmar,MMR,East Asia & Pacific,Lower middle income,IDA
Namibia,NAM,Sub-Saharan Africa,Lower middle income,IBRD
Nauru,NRU,East Asia & Pacific,High income,IBRD
Nepal,NPL,South Asia,Lower middle income,IDA
Netherlands (Kingdom of the),NLD,Europe & Central Asia,High income,NA
New Caledonia,NCL,East Asia & Pacific,High income,NA
New Zealand,NZL,East Asia & Pacific,High income,NA
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,IDA
Niger,NER,Sub-Saharan Africa,Low income,IDA
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,Blend
North Macedonia,MKD,Europe & Central Asia,Upper middle income,IBRD
Northern Mariana Islands,MNP,East Asia & Pacific,High income,NA
Norway,NOR,Europe & Central Asia,High income,NA
Oman,OMN,"Middle East, North Africa, Afghanistan & Pakistan",High income,NA
Pakistan,PAK,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Blend
Palau,PLW,East Asia & Pacific,High income,IBRD
Panama,PAN,Latin America & Caribbean,High income,IBRD
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,Blend
Paraguay,PRY,Latin America & Caribbean,Upper middle income,IBRD
Peru,PER,Latin America & Caribbean,Upper middle income,IBRD
Philippines,PHL,East Asia & Pacific,Lower middle income,IBRD
Poland,POL,Europe & Central Asia,High income,IBRD
Portugal,PRT,Europe & Central Asia,High income,NA
Puerto Rico (U.S.),PRI,Latin America & Caribbean,High income,NA
Qatar,QAT,"Middle East, North Africa, Afghanistan & Pakistan",High income,NA
Romania,ROU,Europe & Central Asia,High income,IBRD
Russian Federation,RUS,Europe & Central Asia,High income,IBRD
Rwanda,RWA,Sub-Saharan Africa,Low income,IDA
Samoa,WSM,East Asia & Pacific,Upper middle income,IDA
San Marino,SMR,Europe & Central Asia,High income,NA
São Tomé and Príncipe,STP,Sub-Saharan Africa,Lower middle income,IDA
Saudi Arabia,SAU,"Middle East, North Africa, Afghanistan & Pakistan",High income,NA
Senegal,SEN,Sub-Saharan Africa,Lower middle income,IDA
Serbia,SRB,Europe & Central Asia,Upper middle income,IBRD
Seychelles,SYC,Sub-Saharan Africa,High income,IBRD
Sierra Leone,SLE,Sub-Saharan Africa,Low income,IDA
Singapore,SGP,East Asia & Pacific,High income,NA
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,NA
Slovak Republic,SVK,Europe & Central Asia,High income,NA
Slovenia,SVN,Europe & Central Asia,High income,NA
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,IDA
Somalia,SOM,Sub-Saharan Africa,Low income,IDA
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,IBRD
South Sudan,SSD,Sub-Saharan Africa,Low income,IDA
Spain,ESP,Europe & Central Asia,High income,NA
Sri Lanka,LKA,South Asia,Lower middle income,IDA
Saint Kitts and Nevis,KNA,Latin America & Caribbean,High income,IBRD
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,Blend
St. Martin (French part),MAF,Latin America & Caribbean,High income,NA
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,Blend
Sudan,SDN,Sub-Saharan Africa,Low income,IDA
Suriname,SUR,Latin America & Caribbean,Upper middle income,Blend
Sweden,SWE,Europe & Central Asia,High income,NA
Switzerland,CHE,Europe & Central Asia,High income,NA
Syrian Arab Republic,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA
"Taiwan, China",TWN,East Asia & Pacific,High income,NA
Tajikistan,TJK,Europe & Central Asia,Lower middle income,IDA
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,IDA
Thailand,THA,East Asia & Pacific,Upper middle income,IBRD
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,Blend
Togo,TGO,Sub-Saharan Africa,Low income,IDA
Tonga,TON,East Asia & Pacific,Upper middle income,IDA
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,IBRD
Tunisia,TUN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD
Türkiye,TUR,Europe & Central Asia,Upper middle income,IBRD
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,IBRD
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,NA
Tuvalu,TUV,East Asia & Pacific,Upper middle income,IDA
Uganda,UGA,Sub-Saharan Africa,Low income,IDA
Ukraine,UKR,Europe & Central Asia,Upper middle income,IBRD
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",High income,NA
United Kingdom,GBR,Europe & Central Asia,High income,NA
United States,USA,North America,High income,NA
Uruguay,URY,Latin America & Caribbean,High income,IBRD
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,Blend
Vanuatu,VUT,East Asia & Pacific,Lower middle income,IDA
"Venezuela, RB",VEN,Latin America & Caribbean,NA,IBRD
Vietnam,VNM,East Asia & Pacific,Lower middle income,IBRD
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,NA
West Bank and Gaza,PSE,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,NA
"Yemen, Rep.",YEM,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,IDA
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,Blend
NA,NA,NA,NA,NA
Africa Eastern and Southern,AFE,NA,NA,NA
Africa Western and Central,AFW,NA,NA,NA
Arab World,ARB,NA,NA,NA
Caribbean small states,CSS,NA,NA,NA
Central Europe and the Baltics,CEB,NA,NA,NA
Early-demographic dividend,EAR,NA,NA,NA
East Asia & Pacific,EAS,NA,NA,NA
East Asia & Pacific (excluding high income),EAP,NA,NA,NA
East Asia & Pacific (IDA & IBRD),TEA,NA,NA,NA
Euro area,EMU,NA,NA,NA
Europe & Central Asia,ECS,NA,NA,NA
Europe & Central Asia (excluding high income),ECA,NA,NA,NA
Europe & Central Asia (IDA & IBRD),TEC,NA,NA,NA
European Union,EUU,NA,NA,NA
Fragile and conflict affected situations,FCS,NA,NA,NA
Heavily indebted poor countries (HIPC),HPC,NA,NA,NA
High income,HIC,NA,NA,NA
IBRD only,IBD,NA,NA,NA
IDA & IBRD total,IBT,NA,NA,NA
IDA blend,IDB,NA,NA,NA
IDA only,IDX,NA,NA,NA
IDA total,IDA,NA,NA,NA
Late-demographic dividend,LTE,NA,NA,NA
Latin America & Caribbean,LCN,NA,NA,NA
Latin America & Caribbean (excluding high income),LAC,NA,NA,NA
Latin America & Caribbean (IDA & IBRD),TLA,NA,NA,NA
Least developed countries: UN classification,LDC,NA,NA,NA
Low & middle income,LMY,NA,NA,NA
Low income,LIC,NA,NA,NA
Lower middle income,LMC,NA,NA,NA
"Middle East, North Africa, Afghanistan and Pakistan",MEA,NA,NA,NA
"Middle East, North Africa, Afghanistan and Pakistan (excluding high income)",MNA,NA,NA,NA
"Middle East, North Africa, Afghanistan and Pakistan (IDA & IBRD)",TMN,NA,NA,NA
Middle income,MIC,NA,NA,NA
North America,NAC,NA,NA,NA
OECD members,OED,NA,NA,NA
Other small states,OSS,NA,NA,NA
Pacific island small states,PSS,NA,NA,NA
Post-demographic dividend,PST,NA,NA,NA
Pre-demographic dividend,PRE,NA,NA,NA
Small states,SST,NA,NA,NA
South Asia,SAS,NA,NA,NA
South Asia (IDA & IBRD),TSA,NA,NA,NA
Sub-Saharan Africa,SSF,NA,NA,NA
Sub-Saharan Africa (excluding high income),SSA,NA,NA,NA
Sub-Saharan Africa (IDA & IBRD),TSS,NA,NA,NA
Upper middle income,UMC,NA,NA,NA
World,WLD,NA,NA,NA
