Party,UN_scale_percentage,CBD_scale_with_ceiling_percentage,CBD_assessed_contribution_usd,extra_col_4,extra_col_5
Maldives,0.004,0.005,704,752,1 456
Mali,0.005,0.006,880,940,1 820
Malta,0.019,0.024,3 344,3 573,6 917
Marshall Islands,0.001,0.001,176,188,364
Mauritania,0.002,0.003,352,376,728
Mauritius,0.019,0.024,3 344,3 573,6 917
Mexico,1.221,1.526,214 889,229 593,444 482
Micronesia (Federated States of),0.001,0.001,176,188,364
Monaco,0.011,0.014,1 936,2 068,4 004
Mongolia,0.004,0.005,704,752,1 456
Montenegro,0.004,0.005,704,752,1 456
Morocco,0.055,0.069,9 680,10 342,20 022
Mozambique,0.004,0.005,704,752,1 456
Myanmar,0.010,0.010,1 408,1 504,2 912
Namibia,0.009,0.011,1 584,1 692,3 276
Nauru,0.001,0.001,176,188,364
Nepal,0.010,0.010,1 408,1 504,2 912
Netherlands (Kingdom of the),1.377,1.721,242 344,258 926,501 271
New Zealand,0.309,0.386,54 382,58 103,112 486
Nicaragua,0.005,0.006,880,940,1 820
Niger,0.003,0.004,528,564,1 092
Nigeria,0.182,0.228,32 031,34 223,66 254
Niue,0.001,0.001,176,188,364
North Macedonia,0.007,0.009,1 232,1 316,2 548
Norway,0.679,0.849,119 500,127 677,247 177
Oman,0.111,0.139,19 535,20 872,40 407
Pakistan,0.114,0.143,20 063,21 436,41 500
Palau,0.001,0.001,176,188,364
Panama,0.090,0.113,15 839,16 923,32 763
Papua New Guinea,0.010,0.013,1 760,1 880,3 640
Paraguay,0.026,0.033,4 576,4 889,9 465
Peru,0.163,0.204,28 687,30 650,59 337
Philippines,0.212,0.265,37 311,39 864,77 175
Poland,0.837,1.046,147 307,157 387,304 694
Portugal,0.353,0.441,62 126,66 377,128 503
Qatar,0.269,0.336,47 343,50 582,97 924
Republic of Korea,2.574,3.218,453 010,484 006,937 016
Republic of Moldova,0.005,0.006,880,940,1 820
Romania,0.312,0.390,54 910,58 667,113 578
Russian Federation,1.866,2.333,328 406,350 876,679 282
Rwanda,0.003,0.004,528,564,1 092
Saint Kitts and Nevis,0.002,0.003,352,376,728
Saint Lucia,0.002,0.003,352,376,728
Saint Vincent and the Grenadines,0.001,0.001,176,188,364
Samoa,0.001,0.001,176,188,364
San Marino,0.002,0.003,352,376,728
Sao Tome and Principe,0.001,0.001,176,188,364
Saudi Arabia,1.184,1.480,208 377,222 635,431 013
Senegal,0.007,0.009,1 232,1 316,2 548
Serbia,0.032,0.040,5 632,6 017,11 649
Seychelles,0.002,0.003,352,376,728
SierraLeone,0.001,0.001,176,188,364
Singapore,0.504,0.630,88 701,94 770,183 472
Slovakia,0.155,0.194,27 279,29 146,56 425
Slovenia,0.079,0.099,13 904,14 855,28 758
Solomon Islands,0.001,0.001,176,188,364
Somalia,0.001,0.001,176,188,364
South Africa,0.244,0.305,42 943,45 881,88 824
South Sudan,0.002,0.003,352,376,728
Spain,2.134,2.668,375 572,401 270,776 842
Sri Lanka,0.045,0.056,7 920,8 462,16 381
State of Palestine,0.011,0.014,1 936,2 068,4 004
Sudan,0.010,0.010,1 408,1 504,2 912
Suriname,0.003,0.004,528,564,1 092
Sweden,0.871,1.089,153 291,163 780,317 071
Switzerland,1.134,1.418,199 578,213 233,412 811
Syrian Arab Republic,0.009,0.011,1 584,1 692,3 276
Tajikistan,0.003,0.004,528,564,1 092
Thailand,0.368,0.460,64 766,69 197,133 963
Timor-Leste,0.001,0.001,176,188,364
Togo,0.002,0.003,352,376,728
Tonga,0.001,0.001,176,188,364
Trinidad and Tobago,0.037,0.046,6 512,6 957,13 469
Tunisia,0.019,0.024,3 344,3 573,6 917
Türkiye,0.845,1.056,148 715,158 891,307 606
Turkmenistan,0.034,0.043,5 984,6 393,12 377
Tuvalu,0.001,0.001,176,188,364
Uganda,0.010,0.010,1 408,1 504,2 912
Ukraine,0.056,0.070,9 856,10 530,20 386
United Arab Emirates,0.635,0.794,111 756,119 403,231 160
United Kingdom of Great Britain and Northern Ireland,4.375,5.469,769 976,822 660,1 592 635
United Republic of Tanzania,0.010,0.010,1 408,1 504,2 912
Uruguay,0.092,0.115,16 191,17 299,33 491
Uzbekistan,0.027,0.034,4 752,5 077,9 829
Vanuatu,0.001,0.001,176,188,364
Venezuela (Bolivarian Republic of),0.175,0.219,30 799,32 906,63 705
Viet Nam,0.093,0.116,16 367,17 487,33 855
Yemen,0.008,0.010,1 408,1 504,2 912
Zambia,0.008,0.010,1 408,1 504,2 912
Zimbabwe,0.007,0.009,1 232,1 316,2 548
Total,78.013,100,14 078 652,15 041 954,29 120 606
