Rank,party,total_allocation,state_component,iplc_component,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
44,Sudan,7.414201920902055,3.7071009604510277,3.7071009604510277,Low income,True,False,False,Band 2: 0.001% - 0.01%
45,Mongolia,7.354850100746741,3.6774250503733703,3.6774250503733703,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
46,Niger,7.29889263242644,3.64944631621322,3.64944631621322,Low income,True,False,False,Band 2: 0.001% - 0.01%
47,Chad,7.297454382528607,3.6487271912643036,3.6487271912643036,Low income,True,False,False,Band 2: 0.001% - 0.01%
48,Angola,7.295057299365551,3.6475286496827755,3.6475286496827755,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
49,Mali,7.2899735653933435,3.6449867826966718,3.6449867826966718,Low income,True,False,False,Band 2: 0.001% - 0.01%
50,Ethiopia,7.272390250855716,3.636195125427858,3.636195125427858,Low income,True,False,False,Band 2: 0.001% - 0.01%
51,Mauritania,7.253635702307954,3.626817851153977,3.626817851153977,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
52,United Republic of Tanzania,7.225848714281817,3.6129243571409084,3.6129243571409084,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
53,Namibia,7.213861380800009,3.6069306904000045,3.6069306904000045,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
54,Mozambique,7.206783273636139,3.6033916368180696,3.6033916368180696,Low income,True,False,False,Band 2: 0.001% - 0.01%
55,Zambia,7.198539225221759,3.5992696126108794,3.5992696126108794,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
56,Myanmar,7.181142154457569,3.5905710772287844,3.5905710772287844,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
57,Afghanistan,7.1810577771302295,3.5905288885651148,3.5905288885651148,Low income,True,False,False,Band 2: 0.001% - 0.01%
58,South Sudan,7.177164914073427,3.5885824570367135,3.5885824570367135,Low income,True,False,False,Band 2: 0.001% - 0.01%
59,Somalia,7.176284705135954,3.588142352567977,3.588142352567977,Low income,True,False,False,Band 2: 0.001% - 0.01%
60,Madagascar,7.16755165175631,3.583775825878155,3.583775825878155,Low income,True,False,False,Band 2: 0.001% - 0.01%
61,Yemen,7.157228852822929,3.5786144264114643,3.5786144264114643,Low income,True,False,False,Band 2: 0.001% - 0.01%
62,Zimbabwe,7.130166742745299,3.5650833713726495,3.5650833713726495,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
63,Congo,7.121470125029734,3.560735062514867,3.560735062514867,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
64,Burkina Faso,7.108449169288017,3.5542245846440084,3.5542245846440084,Low income,True,False,False,Band 2: 0.001% - 0.01%
65,Guinea,7.103102715001138,3.551551357500569,3.551551357500569,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
66,Lao People's Democratic Republic,7.100241556537716,3.550120778268858,3.550120778268858,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
67,Uganda,7.0944348622835305,3.5472174311417652,3.5472174311417652,Low income,True,False,False,Band 2: 0.001% - 0.01%
68,Senegal,7.092902646725705,3.5464513233628523,3.5464513233628523,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
69,Kyrgyzstan,7.092762657068983,3.5463813285344914,3.5463813285344914,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
70,Syrian Arab Republic,7.091195923513609,3.5455979617568043,3.5455979617568043,Low income,False,False,False,Band 2: 0.001% - 0.01%
71,Cambodia,7.089832462610463,3.5449162313052316,3.5449162313052316,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
72,Nepal,7.083471562728979,3.5417357813644896,3.5417357813644896,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
73,Tajikistan,7.082597106791097,3.5412985533955483,3.5412985533955483,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
74,Bangladesh,7.080907642577776,3.540453821288888,3.540453821288888,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
75,Democratic People's Republic of Korea,7.079072435708141,3.5395362178540704,3.5395362178540704,Low income,False,False,False,Band 2: 0.001% - 0.01%
76,Nicaragua,7.0790590120424275,3.5395295060212137,3.5395295060212137,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
77,Benin,7.0776054208123504,3.5388027104061752,3.5388027104061752,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
78,Honduras,7.077438583824201,3.5387192919121007,3.5387192919121007,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
79,Malawi,7.07406157306409,3.537030786532045,3.537030786532045,Low income,True,False,False,Band 2: 0.001% - 0.01%
80,Georgia,7.069307677735118,3.534653838867559,3.534653838867559,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
81,Togo,7.066412001274148,3.533206000637074,3.533206000637074,Low income,True,False,False,Band 2: 0.001% - 0.01%
82,Republic of Moldova,7.062296688899814,3.531148344449907,3.531148344449907,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
83,Armenia,7.061389525241588,3.530694762620794,3.530694762620794,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
84,Equatorial Guinea,7.061360867632957,3.5306804338164786,3.5306804338164786,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
85,Albania,7.061236219308478,3.530618109654239,3.530618109654239,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
86,North Macedonia,7.060818168004841,3.5304090840024207,3.5304090840024207,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
87,Rwanda,7.060712696345667,3.5303563481728335,3.5303563481728335,Low income,True,False,False,Band 2: 0.001% - 0.01%
88,Djibouti,7.06042696403263,3.530213482016315,3.530213482016315,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
89,Eswatini,7.059280199447425,3.5296400997237125,3.5296400997237125,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
90,Montenegro,7.058561074498508,3.529280537249254,3.529280537249254,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
91,Guyana,6.780166529828854,3.390083264914427,3.390083264914427,High income,False,True,False,Band 3: 0.01% - 0.1%
92,Dominican Republic,6.748919691683821,3.3744598458419106,3.3744598458419106,Upper middle income,False,True,False,Band 3: 0.01% - 0.1%
93,Bahamas,6.741596502902028,3.370798251451014,3.370798251451014,High income,False,True,False,Band 3: 0.01% - 0.1%
94,Trinidad and Tobago,6.7406606816351715,3.3703303408175858,3.3703303408175858,High income,False,True,False,Band 3: 0.01% - 0.1%
95,Algeria,6.427184457696323,3.2135922288481615,3.2135922288481615,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
96,Libya,6.307867246172079,3.1539336230860395,3.1539336230860395,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
97,Bolivia (Plurinational State of),6.178186964717314,3.089093482358657,3.089093482358657,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
98,Venezuela (Bolivarian Republic of),6.139593925792123,3.0697969628960613,3.0697969628960613,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
99,Kenya,6.081838853358116,3.040919426679058,3.040919426679058,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
100,Ukraine,6.081555748248226,3.040777874124113,3.040777874124113,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
101,Botswana,6.079126064754154,3.039563032377077,3.039563032377077,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
102,Cameroon,6.061096164034916,3.030548082017458,3.030548082017458,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
103,Turkmenistan,6.060563052739453,3.0302815263697265,3.0302815263697265,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
104,Morocco,6.056031606728013,3.0280158033640063,3.0280158033640063,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
105,Uzbekistan,6.054948125138312,3.027474062569156,3.027474062569156,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
106,Paraguay,6.0463880510327135,3.0231940255163567,3.0231940255163567,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
107,Côte d’Ivoire,6.031427945142411,3.0157139725712057,3.0157139725712057,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
108,Gabon,6.019858662964242,3.009929331482121,3.009929331482121,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
109,Ecuador,6.018073315424399,3.0090366577121994,3.0090366577121994,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
110,Ghana,6.014079391341442,3.007039695670721,3.007039695670721,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
111,Belarus,6.009371520009201,3.0046857600046004,3.0046857600046004,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
112,Tunisia,6.000239016691267,3.0001195083456333,3.0001195083456333,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
113,Guatemala,5.990995864014525,2.9954979320072623,2.9954979320072623,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
114,Jordan,5.987473877664711,2.9937369388323556,2.9937369388323556,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
115,Serbia,5.986571807328789,2.9932859036643946,2.9932859036643946,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
116,Azerbaijan,5.986295663348406,2.993147831674203,2.993147831674203,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
117,Sri Lanka,5.982308834631612,2.991154417315806,2.991154417315806,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
118,Bosnia and Herzegovina,5.980264602110159,2.9901323010550795,2.9901323010550795,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
119,El Salvador,5.974419554525364,2.987209777262682,2.987209777262682,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
120,Lebanon,5.972407922334928,2.986203961167464,2.986203961167464,Lower middle income,False,False,False,Band 3: 0.01% - 0.1%
121,Cuba,5.94543054963548,2.97271527481774,2.97271527481774,Upper middle income,False,True,False,Band 4: 0.1% - 1.0%
122,Singapore,5.925662859506354,2.962831429753177,2.962831429753177,High income,False,True,False,Band 4: 0.1% - 1.0%
123,Argentina,5.681100283538858,2.840550141769429,2.840550141769429,Upper middle income,False,False,False,Band 4: 0.1% - 1.0%
124,Kazakhstan,5.6740068350427455,2.8370034175213728,2.8370034175213728,Upper middle income,False,False,False,Band 4: 0.1% - 1.0%
125,Brazil,5.673571271754689,2.8367856358773444,2.8367856358773444,Upper middle income,False,False,False,Band 5: 1.0% - 10.0%
126,Indonesia,5.519223430001526,2.759611715000763,2.759611715000763,Upper middle income,False,False,False,Band 4: 0.1% - 1.0%
127,Iran (Islamic Republic of),5.467435796383285,2.7337178981916423,2.7337178981916423,Upper middle income,False,False,False,Band 4: 0.1% - 1.0%
128,Peru,5.401755717715569,2.7008778588577846,2.7008778588577846,Upper middle income,False,False,False,Band 4: 0.1% - 1.0%
129,South Africa,5.388924610960365,2.6944623054801826,2.6944623054801826,Upper middle income,False,False,False,Band 4: 0.1% - 1.0%
130,Colombia,5.369059503371494,2.684529751685747,2.684529751685747,Upper middle income,False,False,False,Band 4: 0.1% - 1.0%
131,Egypt,5.3471885165917765,2.6735942582958883,2.6735942582958883,Lower middle income,False,False,False,Band 4: 0.1% - 1.0%
132,Nigeria,5.330949716411974,2.665474858205987,2.665474858205987,Lower middle income,False,False,False,Band 4: 0.1% - 1.0%
133,Pakistan,5.304123479317588,2.652061739658794,2.652061739658794,Lower middle income,False,False,False,Band 4: 0.1% - 1.0%
134,Türkiye,5.303883771001283,2.6519418855006416,2.6519418855006416,Upper middle income,False,False,False,Band 4: 0.1% - 1.0%
135,Thailand,5.254266067192567,2.6271330335962837,2.6271330335962837,Upper middle income,False,False,False,Band 4: 0.1% - 1.0%
136,Iraq,5.239546058904877,2.6197730294524386,2.6197730294524386,Upper middle income,False,False,False,Band 4: 0.1% - 1.0%
137,Malaysia,5.219299335676445,2.6096496678382226,2.6096496678382226,Upper middle income,False,False,False,Band 4: 0.1% - 1.0%
138,Viet Nam,5.216399632115761,2.6081998160578803,2.6081998160578803,Lower middle income,False,False,False,Band 4: 0.1% - 1.0%
139,Philippines,5.213473464756956,2.606736732378478,2.606736732378478,Lower middle income,False,False,False,Band 4: 0.1% - 1.0%
140,India,4.640917433443087,2.3204587167215434,2.3204587167215434,Lower middle income,False,False,False,Band 5: 1.0% - 10.0%
141,Mexico,4.443543523463639,2.2217717617318193,2.2217717617318193,Upper middle income,False,False,False,Band 5: 1.0% - 10.0%
142,China,3.971416936859802,1.985708468429901,1.985708468429901,Upper middle income,False,False,False,Band 6: > 10.0%
