"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Dominican Republic","DOM","Land area (sq. km)","AG.LND.TOTL.K2","","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48310","48198.02","48198.02","48198.02","48198.02","48198.02","","",
"Algeria","DZA","Land area (sq. km)","AG.LND.TOTL.K2","","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381741","2381741","2381741","2381741","2381740","2381740","2381740","2381740","2381740","","",
"East Asia & Pacific (excluding high income)","EAP","Land area (sq. km)","AG.LND.TOTL.K2","","15922288.742","15922288.742","15922288.742","15922288.742","15922288.742","15922288.742","15922288.742","15922288.742","15922288.742","15922288.742","15922288.742","15922288.742","15922258.742","15922218.742","15922198.742","15922198.742","15922198.742","15922198.742","15922198.742","15922198.742","15922198.742","15922198.742","15922198.742","15922198.742","15922198.742","15922198.742","15922198.742","15922198.742","15922198.742","15922198.742","15923078.742","15923078.742","15923078.742","15923078.742","15923068.742","15923058.742","15923058.742","15923058.742","15923058.742","15974567.742","15974591.942","15974051.168","15980817.758","15980455.519","15983161.891","15986244.493","15986056.893","15986086.887","15986047.134","15986366.418","15986345.947","15986378.947","15985860.383","15986223.921","15986238.4","15985941.4","15985877.4","15985853","15985856","15986074.803","16001111.47","16001111.259","","","",
"Early-demographic dividend","EAR","Land area (sq. km)","AG.LND.TOTL.K2","","31114350.61","31114350.61","31114350.61","31114350.61","31114350.61","31114350.61","31114350.61","31114350.61","31114350.61","31114350.61","31114350.61","31114350.61","31114320.61","31114280.61","31114260.61","31114130.61","31114130.61","31114130.61","31114130.61","31114130.61","31114130.61","31114130.61","31114130.61","31114130.61","31114130.61","31114130.61","31114130.61","31114130.61","31114130.61","31114130.61","31114830.61","32150140.61","33150140.61","33143217.61","33143217.61","33143217.61","33143217.61","33114737.61","33114737.61","33191601.61","33191547.61","33191547.61","33191333.61","33318093.91","33318042.41","33318226.81","33318448.81","33318168.91","33318697.21","33318578.61","33318534.71","33318395.71","33318304.71","33316877.91","33321702.01","33321440.11","33315092.41","33315104.01","33314978.53","33315046.03","33330098.5","33302694.251","","","",
"East Asia & Pacific","EAS","Land area (sq. km)","AG.LND.TOTL.K2","","24396148.742","24396148.742","24396148.742","24396148.742","24396148.742","24396148.742","24396148.742","24396148.742","24396148.742","24396148.742","24396148.742","24396048.742","24396018.742","24395978.742","24395848.742","24395848.742","24395738.742","24395738.742","24395738.742","24395638.742","24395738.742","24395528.742","24395528.742","24394028.742","24393928.742","24394028.742","24393928.742","24393928.742","24393928.742","24393928.742","24395728.742","24395728.742","24395728.742","24395728.742","24395778.742","24395668.742","24395668.742","24395668.742","24395668.742","24446988.742","24447298.942","24446814.168","24453602.758","24453263.519","24455999.891","24459118.093","24458972.093","24459077.087","24459107.634","24459569.118","24459540.847","24459695.847","24459294.683","24459664.221","24459693.8","24469160.9","24469121.2","24469110.9","24469195.9","24469416.703","24484453.47","24447960.259","","","",
"Europe & Central Asia (excluding high income)","ECA","Land area (sq. km)","AG.LND.TOTL.K2","","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","797030","5796775","5796819","5796795","5796775","5796761","5796752","5796591","5796200","5806658","5806599","5806588","5806575","5806570","5806622","5907561","5907454","5907426","5907385","5907330","5907257","5907247","5907266","5906131","5910951","5910959","5910968","5911046.3","5910999.9","5907730.6","5907793","5907752","","","",
"Europe & Central Asia","ECS","Land area (sq. km)","AG.LND.TOTL.K2","","5483173.727","5483153.727","5483163.727","5483163.727","5483153.727","5483143.727","5483133.727","5483123.727","5483123.727","5483113.727","5483103.727","5483103.727","5483103.727","5483073.727","5482953.727","5482873.727","5482853.727","5482853.727","5482814.437","5482734.437","5482714.437","5482704.437","5482664.437","5482674.517","5482674.597","5482674.677","5482674.757","5482664.837","5481674.917","5481674.997","5481785.077","27114827.157","27236451.237","27231617.317","27228617.397","27228272.181","27297611.964","27300059.746","27306847.527","27344112.768","27342622.547","27341920.326","27342428.104","27342411.881","27342332.657","27438960.432","27438802.207","27437344.809","27438232.811","27439468.612","27439300.813","27439439.915","27440727.775","27440324.616","27444603.257","27444958.087","27444222.807","27445059.536","27444880.553","27440780.892","27440964.948","27440618.285","","","",
"Ecuador","ECU","Land area (sq. km)","AG.LND.TOTL.K2","","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","","",
"Egypt, Arab Rep.","EGY","Land area (sq. km)","AG.LND.TOTL.K2","","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","","",
"Euro area","EMU","Land area (sq. km)","AG.LND.TOTL.K2","","2410306","2410306","2410306","2410306","2410306","2410306","2410306","2410306","2410306","2410306","2410306","2410306","2410306","2410276","2410156","2410096","2410066","2410056","2410066","2409996","2409986","2409986","2409956","2409966","2409966","2409966","2409966","2409966","2409966","2409966","2409966","2653313","2701403","2701393","2701383","2701443","2701403","2701303","2701263","2735311.46","2734781.46","2735261.46","2735743.46","2735363.46","2735223.46","2734593.46","2734653.46","2734114.66","2734034.26","2735345.66","2735181.46","2735491.16","2736891.66","2736879.06","2736294.66","2736687.06","2735965.51","2736178.939","2736155.496","2736151.105","2736325.404","2736252.841","","","",
"Eritrea","ERI","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","120982.625","121025.326","121004.031","121032.606","121057.494","121069.592","121065.103","121088.989","121082.12","121049.278","121036.185","121088.775","121077.459","121071.233","121077.714","121080.546","121040.829","121178.2","121178.2","121178.2","","",
"Spain","ESP","Land area (sq. km)","AG.LND.TOTL.K2","","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499750","499630","499570","499540","499530","499540","499470","499460","499460","499430","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499000","498520","499040","499210","499180","499090","498980","499110","498800","498660","500010","499880","500210","500210","500210","499661","499564","499547.35","499603.479","499570.036","499556.645","499733.244","499713.681","499697.4","","",
"Estonia","EST","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","42390","43470","43470","43470","43470","42750","42750","42750","42750","42750","42730","42730","","",
"Ethiopia","ETH","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1128597.3","1128599.8","1128613.2","1128631.2","1128568.3","1128588.6","1128571","1128575.1","1128582.1","1128572.1","1128538.3","1128539.4","1128558.5","1128552.8","1128561.4","1128570.9","1128571.4","1128505.6","1128498.8","1128498.8","","",
"European Union","EUU","Land area (sq. km)","AG.LND.TOTL.K2","","3594945.7","3594925.7","3594935.7","3594935.7","3594925.7","3594915.7","3594905.7","3594895.7","3594895.7","3594885.7","3594875.7","3594875.7","3594875.7","3594845.7","3594725.7","3594645.7","3594625.7","3594625.7","3594585.7","3594505.7","3594485.7","3594475.7","3594435.7","3594445.7","3594445.7","3594445.7","3594445.7","3594435.7","3593445.7","3593445.7","3593555.7","3836902.7","3962252.7","3962292.7","3962262.7","3962352.7","3962262.7","3962222.7","3962192.7","3996171.16","3995641.16","3994451.16","3994933.16","3994673.16","3994383.16","3993723.16","3993673.16","3993114.36","3994043.96","3995335.36","3995241.16","3995390.86","3996781.36","3997528.76","3996905.3","3997297.7","3996576.15","3996769.579","3996650.996","3996659.635","3996792.234","3996694.571","","","",
"Fragile and conflict affected situations","FCS","Land area (sq. km)","AG.LND.TOTL.K2","","16129541","16129541","16129541","16129541","16129541","16129541","16129541","16129541","16129541","16129541","16129541","16129541","16129541","16129141","16128741","16128741","16128741","16128741","16128741","16128741","16128741","16128741","16128741","16128741","16128741","16128741","16128741","16128741","16128741","16128741","16129621","16708971","17809971","17809971","17809971","17809971","17809971","17809971","17809971","17809971","17809971","17809961","17809771","17958210.925","17958236.126","17958378.231","17958454.806","17958196.794","17955169.192","17955097.103","17955155.089","20454945.22","20454640.378","20454563.485","20454617.175","20454324.959","20454293.033","20454358.114","20454370.446","20454301.229","20454306.229","20449830.938","","","",
"Finland","FIN","Land area (sq. km)","AG.LND.TOTL.K2","","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304590","304110","304090","303900","303900","303900","303890","303890","303890","303890","303910","303910","303920","303920","303930","303940","303947.7","303947.7","303960","","",
"Fiji","FJI","Land area (sq. km)","AG.LND.TOTL.K2","","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","","",
"France","FRA","Land area (sq. km)","AG.LND.TOTL.K2","","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","538950","","",
"Faroe Islands","FRO","Land area (sq. km)","AG.LND.TOTL.K2","","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1366","1370","1370","1370","","",
"Micronesia, Fed. Sts.","FSM","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","","",
"Gabon","GAB","Land area (sq. km)","AG.LND.TOTL.K2","","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","257670","","",
"United Kingdom","GBR","Land area (sq. km)","AG.LND.TOTL.K2","","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","241930","","",
"Georgia","GEO","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","69490","","",
"Ghana","GHA","Land area (sq. km)","AG.LND.TOTL.K2","","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227540","227533","227530","227533","227533","227533","","",
"Gibraltar","GIB","Land area (sq. km)","AG.LND.TOTL.K2","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","","",
"Guinea","GIN","Land area (sq. km)","AG.LND.TOTL.K2","","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","245720","","",
"Gambia, The","GMB","Land area (sq. km)","AG.LND.TOTL.K2","","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","10120","","",
"Guinea-Bissau","GNB","Land area (sq. km)","AG.LND.TOTL.K2","","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","28120","","",
"Equatorial Guinea","GNQ","Land area (sq. km)","AG.LND.TOTL.K2","","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","","",
"Greece","GRC","Land area (sq. km)","AG.LND.TOTL.K2","","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","128900","","",
"Grenada","GRD","Land area (sq. km)","AG.LND.TOTL.K2","","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","","",
"Greenland","GRL","Land area (sq. km)","AG.LND.TOTL.K2","","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","","",
"Guatemala","GTM","Land area (sq. km)","AG.LND.TOTL.K2","","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","107160","","",
"Guam","GUM","Land area (sq. km)","AG.LND.TOTL.K2","","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","","",
"Guyana","GUY","Land area (sq. km)","AG.LND.TOTL.K2","","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196710","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","196850","211140","211140","211140","211140","","",
"High income","HIC","Land area (sq. km)","AG.LND.TOTL.K2","","35135119.727","35135099.727","35135109.727","35135109.727","35135099.727","35135089.727","35135079.727","35135069.727","35135069.727","35135059.727","35135049.727","35134949.727","35134949.727","35134919.727","35134829.727","35134749.727","35134619.727","35134619.727","35134580.437","35134310.437","35134390.437","35134170.437","35134130.437","35132640.517","35132540.597","35132640.677","35132540.757","35132530.837","35131540.917","35131540.997","35132571.077","51765888.157","51887468.237","51882658.317","51879738.397","51879307.181","51948655.964","51951264.746","51958443.527","51988021.768","51986876.547","51986241.326","51986794.104","51986815.881","51986724.657","51982449.032","51982449.407","51966605.009","51967604.311","51969039.312","51969469.713","51969743.815","51971130.075","51971528.916","51971009.657","51981121.587","51980402.607","51981233.136","51981184.553","51980361.192","51803597.948","51745159.285","","","",
"Hong Kong SAR, China","HKG","Land area (sq. km)","AG.LND.TOTL.K2","","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1010","1010","1000","1000","1000","1000","1000","990","990","990","990","990","990","990","990","990","990","990","990","990","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","1050","","",
"Honduras","HND","Land area (sq. km)","AG.LND.TOTL.K2","","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","111890","","",
"Heavily indebted poor countries (HIPC)","HPC","Land area (sq. km)","AG.LND.TOTL.K2","","16276851","16276851","16276851","16276851","16276851","16276851","16276851","16276851","16276851","16276851","16276851","16276851","16276851","16276451","16276191","16276191","16276191","16276191","16276191","16276191","16276191","16276191","16276191","16276191","16276191","16276191","16276191","16276191","16276191","16276191","16276191","16276191","17377191","17377191","17377191","17377191","17377191","17377191","17377191","17377191","17377191","17377191","17377191","17525770.925","17525816.126","17525808.231","17525854.806","17525816.794","17525849.192","17526537.103","17526820.089","19394820.22","19394782.378","19394735.485","19394789.175","19394796.959","19394785.033","19394800.114","19394805.446","19394763.229","19394766.229","19394766.229","","","",
"Croatia","HRV","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55910","55910","55910","55910","55980","55980","55910","55910","55912","55912","55912","55964","55964","55964","55964","55964","55964","55964","55964","55964","55964","55964","55964","55964","55964","55964","55964","55964","55960","55960","55960","55960","","",
"Haiti","HTI","Land area (sq. km)","AG.LND.TOTL.K2","","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","27560","","",
"Hungary","HUN","Land area (sq. km)","AG.LND.TOTL.K2","","90040","90020","90030","90030","90020","90010","90000","89990","89990","89980","89970","89970","89970","89970","89970","89950","89960","89970","89920","89910","89900","89890","89880","89880","89880","89880","89880","89870","89870","89870","89870","89870","89860","89860","89860","89860","89800","89800","89800","89620","89620","89620","89620","89620","89610","89610","89610","89610","90530","90530","90530","90530","90530","91260","91260","91260","91260","91260","91260","91260","91260","91260","91260","","",
"IBRD only","IBD","Land area (sq. km)","AG.LND.TOTL.K2","","49974220.742","49974220.742","49974220.742","49974220.742","49974220.742","49974220.742","49974220.742","49974220.742","49974220.742","49974220.742","49974220.742","49974220.742","49974150.742","49974110.742","49974090.742","49973960.742","49973960.742","49973960.742","49973960.742","49973870.742","49973870.742","49973870.742","49973870.742","49973870.742","49973870.742","49973870.742","49973870.742","49973870.742","49972880.742","49972880.742","49973450.742","70661895.742","70658169.742","70653345.742","70650345.742","70650001.742","70650692.742","70624691.742","70631520.742","70675864.742","70674983.942","70673262.168","70680141.758","70680298.519","70683140.891","70783381.493","70782792.893","70782141.887","70779673.134","70780020.418","70780016.947","70780028.947","70779418.383","70779630.921","70779651.4","70779671.4","70773439.4","70773584.3","70773414.92","70770315.423","70785381.49","70784043.321","","","",
"IDA & IBRD total","IBT","Land area (sq. km)","AG.LND.TOTL.K2","","70751672.352","70751672.352","70751672.352","70751672.352","70751672.352","70751672.352","70751672.352","70751672.352","70751672.352","70751672.352","70751672.352","70751672.352","70751602.352","70751162.352","70750882.352","70750752.352","70750752.352","70750752.352","70750752.352","70750662.352","70750662.352","70750662.352","70750662.352","70750662.352","70750662.352","70750662.352","70750662.352","70750662.352","70749672.352","70749672.352","70751122.352","92196727.352","93294001.352","93282254.352","93279254.352","93278910.352","93279601.352","93253600.352","93260429.352","93315688.352","93314753.552","93313031.778","93319687.368","93466577.054","93469400.627","93569804.334","93569456.309","93568540.291","93566071.936","93567004.131","93567230.646","96067023.777","96066294.371","96065286.016","96069358.185","96069103.969","96062777.043","96062853.024","96062657.446","96059576.262","96074648.329","96074858.869","","","",
"IDA total","IDA","Land area (sq. km)","AG.LND.TOTL.K2","","20777451.61","20777451.61","20777451.61","20777451.61","20777451.61","20777451.61","20777451.61","20777451.61","20777451.61","20777451.61","20777451.61","20777451.61","20777451.61","20777051.61","20776791.61","20776791.61","20776791.61","20776791.61","20776791.61","20776791.61","20776791.61","20776791.61","20776791.61","20776791.61","20776791.61","20776791.61","20776791.61","20776791.61","20776791.61","20776791.61","20777671.61","21534831.61","22635831.61","22628908.61","22628908.61","22628908.61","22628908.61","22628908.61","22628908.61","22639823.61","22639769.61","22639769.61","22639545.61","22786278.535","22786259.736","22786422.841","22786663.416","22786398.404","22786398.802","22786983.713","22787213.699","25286994.83","25286875.988","25285655.095","25289706.785","25289432.569","25289337.643","25289268.724","25289242.526","25289260.839","25289266.839","25290815.548","","","",
"IDA blend","IDB","Land area (sq. km)","AG.LND.TOTL.K2","","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4462487.61","4887887.61","4887887.61","4887887.61","4887887.61","4887887.61","4887887.61","4887887.61","4887887.61","4898452.61","4898398.61","4898398.61","4898364.61","4898340.61","4898336.61","4898337.61","4898471.61","4898454.61","4898432.61","4898379.61","4898296.61","4898287.61","4898276.61","4898276.61","4903087.61","4903078.61","4903075.61","4903074.61","4903042.61","4903137.61","4903140.61","4903139.61","","","",
"Indonesia","IDN","Land area (sq. km)","AG.LND.TOTL.K2","","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1877519","1877519","1877519","1877519","1877519","1877519","1877519","1877519","1877519","1877519","1877519","1877519","1877519","1877519","1877519","1877519","1877519","1877519","1877519","1877519","1877519","1892555.47","1892555.47","1892555.47","","",
"IDA only","IDX","Land area (sq. km)","AG.LND.TOTL.K2","","16314964","16314964","16314964","16314964","16314964","16314964","16314964","16314964","16314964","16314964","16314964","16314964","16314964","16314564","16314304","16314304","16314304","16314304","16314304","16314304","16314304","16314304","16314304","16314304","16314304","16314304","16314304","16314304","16314304","16314304","16315184","16646944","17747944","17741021","17741021","17741021","17741021","17741021","17741021","17741371","17741371","17741371","17741181","17887937.925","17887923.126","17888085.231","17888191.806","17887943.794","17887966.192","17888604.103","17888917.089","20388707.22","20388599.378","20387378.485","20386619.175","20386353.959","20386262.033","20386194.114","20386199.916","20386123.229","20386126.229","20387675.938","","","",
"Isle of Man","IMN","Land area (sq. km)","AG.LND.TOTL.K2","","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","","",
"India","IND","Land area (sq. km)","AG.LND.TOTL.K2","","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","","",
"Not classified","INX","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
